name,type,salty,sweet,sour,bitter,umami,preperation_techniques,compatible_ingredients,highly_recommended,flavor_affinities
Garlic,Vegetable,1,0,1,1,3,"Grill,Raw,Roast,Saute","Almonds,Anchovies,Bacon,Barbecue,Basil,Bay Leaf,Beans,Beef,Beets,Bread,Broccoli,Cabbage,Caraway Seeds,Cayenne,Salt,Chile Peppers,Chives,Cilantro,Cream,Cumin,Eggplant,Eggs,Fennel,Fish,ginger,leeks,lemongrass,lentils,lime,Mayonnaise,Canola Oil,Peanut Oil,Oregano,Paprika,Parsley,Pork,Potatoes,Rice,Rosemary,Saffron,Sage,Shallots,Shellfish,Shrimp,Soy Sauce,Spinach,Sugar,Tarragon,Thyme,White Wine,Zucchini","Tomatoes,Balsamic Vinegar,Red Wine Vinegar,Salt,Butter,Parmesan Cheese,Chicken,Lamb,Lemon,Mushrroms,Mustard,Olive Oil,Onions,Basil","Garlic w/ Cumin and Coriander,Garlic w/ Lemon and Mint,Garlic w/Lemon and Oregano,Garlic w/ Lemon and Parsley,Garlic w/ Yogurt and Mint"
Lemon,Fruit,0,1,5,0,0,"Juice,Zest,Garnish","Anise,Apples,Apricot,Artichoke,Banana,Bay Leaf,Beef,Berries,Butter,Buttermilk,Caramel,Cardamom,Cayenne,Cherries,Chervil,Chestnuts,Chives,White Chocolate,Dark Chocoloate,Cinnamon,Coffee,Crab,Cranberries,Cream,Cream Cheese,Custard,Dates,Duck,Figs,Ginger,Gooseberries,Grapefruit,Grapes,Guava,Hazelnuts,Kiwi,Lemongrass,Lime,Mango,Maple Syrup,Mascarpone,Dijon Mustard,Oats,Olive Oil,Oregano,Oysters,Papaya,Parsley,Passion Fruit,Pears,Pecans,Black Pepper,Persimmons,Pine Nuts,Plums,Pork,Prunes,Quince,Raisins,Rhubarb,Rice,Sage,Salt,Sesame Oil,Shallots,Sour Cream,Tangerine,Violets,Walnuts,Yogurt","Almonds,Basil,Blackberries,Blueberries,Capers,Goat Cheese,Ricotta,Coconut,Chicken,Fish,Garlic,Honey,Lamb,Mint,Orange,Pistachios,Poppy Seeds,Raspberries,Rosemary,Shellfish,Sugar,Thyme,Vanilla,Veal","Lemon w/ Berries and Creme Fraiche,Lemon w/ Blackberries and Ricotta,Lemon w/ Blueberries and Goat Cheese,Lemon w/ Coconut and Chicken,Lemon w/ Fish and Garlic,Lemon w/ Honey and Lamb,Lemon w/ Mint and Orange,Lemon w/ Pistachios and Poppy Seeds,Lemon w/ Raspberries and Rosemary,Lemon w/ Shellfish and Thyme,Lemon w/ Sugar and Vanilla,Lemon w/ Veal and Walnuts"
Olive Oil,Fat,1,0,0,2,2,"Cook,Fry,Raw,Salads,Sauces","Almonds,Anchovies,Beans,Chickpeas,Fish,Hummas,Parmesan Cheese,Black Pepper,Salt,Thyme,Vinegar","Garlic,Olives,Tomatoes","Olive Oil w/ Tomatoes and Basil"
Tomato,Vegetable,1,1,3,1,4,"Bake,Broil,Confit,Fry,Grill,Raw,Roast,Saute,Stew","Aioli,Allspice,Anchovies,Almonds,Avocado,Beets,Broccoli,Butter,Capers,Carrots,Cauliflower,Cayenne,Celery,Chervil,Chicken,Chickpeas,Chili,Cinnamon,Coriander,Corn,Crab,Cream,Cream Cheese,Cumin,Dill,Eggplant,Eggs,Fish,Ginger,Ham,Hazelnuts,Honey,Horseradish,Lamb,Lavender,Leeks,Legumes,Lemon Balm,Lime,Lovage,Madeira,Mango,Mayonnaise,Canteloupe,Honeydew,Mushrooms,Mustard,Okra,Orange,Oregano,Paprika,Peas,Pineapple,Pork,Raspberries,Red Pepper Flakes,Rice,Rosemary,Saffron,Sage,Shellfish,Squash,Strawberries,Tabasco Sauce,Tarragon,Veal,Red Wine,Rose,Vermouth,Yogurt,Zucchini","Arugula,Basil,Bay Leaf,Bell Peppers,Bleu Cheese,Goat Cheese,Gorgonzola,Mozzarella,Parmesan,Pecorino,Chile Peppers,Chives,Cilantro,Cucumbers,Fennel,Garlic,Lemon,Marjoram,Mint,Olive Oil,Olives,Onions,Parsley,Black Pepper,Salt,Shallots,Sugar,Thyme,Balsamic Vinegar,Raspberry Vinegar,Red Wine Vinegar,Rice Vinegar,Sherry Vinegar,Tarragon Vinegar,White Vinegar,Watermelon","Tomato w/ Basil and Mozzerella,Tomatoes w/ Avocado and Lemon,Tomatoes w/ Basil and Goat Cheese,Tomatoes w/Horseradish and Lemon,Tomatoes w/ Olive Oil and Balsamic Vinegar"
Basil,Herb,0,0,1,2,0,"Garnish","Apricots,Green Beans,Blueberries,Broccoli,Capers,Carrots,Chile Peppers,Chives,White Chocolate,Cilantro,Cinnamon,Coconut Milk,Corn,Crab,Cream,Cucumber,Custartd,Duck,Fennel,Ginger,Honey,Lime Juice,Marjoram,Mussels,Mustartd,Nectarines,Olives,Onions,Orange,Parmesan,Parsley,Peaches,Peas,Black Pepper,Pineapple,Pine Nuts,Pork,Potatoes,Rabbit,Raspberries,Rice,Rosemary,Scallops,Sea Bass,Shrimp,Soy Sauce,Spinach,Squash,Thyme,Tuna,Vanilla,Veal","Bell Peppers,Feta Cheese,Goat Cheese,Mozzarella,Parmesan,Pecorino,Ricotta,Chicken,Eggplant,Eggs,Fish,Garlic,Lamb,Mint,Olive Oil,Oregano,Pesto,Salmon,Salt,Shellfish,Tomatoes,Balsamic Vinegar,Sherry Vinegar,Watermelon,Zucchini","Basil w/ Coconut and Curry,Basil w/ Lemon and Vanilla"
Apricots,Fruit,0,5,3,0,0,"Bake,Grill,Poach,Raw,Stew","Allspice,Amaretto,Anise,Brandy,Bananas,Blackberries,Blueberries,Butter,Caramel,Cayenne,Brie,Reblochon,Ricotta,Cheesecake,Chicken,Coconut,Coffee,COgnac,Coriander,Duck,Foie Gras,Garlic,Hazelnuts,Honey,Ice Cream,Lamb,Lemon Verbena,Maple Syrup,Mascarpone,Meringue,Mint,Nectarines,Nutmeg,Nuts,Oats,Yellow Onions,Peaches,Pineapples,Pine Nuts,Plums,Pork,Praline,Prunes,Raisins,Raspberries,Rosemary,Rum,Sauternes,Sour Cream,Strawberries,Tea,Red Wine Vinegar,Walnuts,White Wine,Yogurt","Almonds,Apples,Cherries,Cranberries,Cream,Ice Cream,Custards,Ginger,Kirsch,Lemon juice,Lemon Zest,Orange Juice,Orange Zest,Sugar,Pepper,Pistachios,Vanilla","Apricots w/ Cranberries and White Chocolate"
Asparagus,Vegetable,1,0,1,1,1,"Blanch,Boil,Deep Fry,Grill,Pan Roast,Simmer,Steam,Stir Fry","ALmonds,Anchovies,Artichokes,Basil,Bay Leaf,Beets,Bread Crumbs,Capers,Caraway Seeds,Carrots,Cayenne,Chervil,Chives,Crab,Creme Fraiche,Fava Beans,Ginger,Ham,Lemon Thyme,Lime Juice,Lobster,Marsala Wine,Mascarpone,Mayonnaise,Yellow Onions,Orange,Oysters,Pancetta,Peas,Pistachios,Potatoes,Prosciutto,Rice,Risotto,Saffron,Sage,Salmon,Scallions,Sesame Seeds,Shrimp,Sour Cream,Soy Sauce,Spinach,Thyme,Tomatoes,Turnips,Vermouth,Dry White Wine,Yogurt","Butter,Chevre,Fontina,Goat Cheese,Muenster,Parmesan,Pecorino,Ricotta,Romano,Heavy Cream,Dill,Eggs,Garlic,Hollandaise Sauce,Leeks,Lemon Juice,Lemon Zest,Mushrooms,Dijon Mustard,Olive Oil,Parsley,Black Pepper,White Pepper,Salt,Shallots,Tarragon,Mustard Vinaigrette,Sherry Vinaigrette,Red Wine Vinegar,White Wine Vinegar","Aparagus w/ Capers and Shrimp,Asparagus w/ Cayenne and Lime,Asparagus w/ Garlic and Ginger,Asparagus w/ Prociutto and Goat Cheese"
Bacon,Protein,4,0,0,0,5,"Bake,Broil,Roast,Saute","Aioli,Avocado,Black Beans,Green Beans,Fava Beans,Butter,Celery,Chervil,Chicken,Frisee,Lentils,Maple Syrup,Mayonnaise,Mushrooms,Olive Oil,Parsnips,Peas,Black Pepper,Potatoes,Risotto,Salmon,Salt,Scallops,Shallots,Spinach,Winter Squash","Eggs,Lettuce,Onions,Tomatoes,Vinegar","Bacon w/ Apricots and Nuts,Bacon w/ Eggs and Spinach,Bacon w/ Lettuce and Tomatoes,Bacon w/ Shallots and Vinegar,Bacon w/ Spinach and Winter Squash,Bacon w/ Mushrooms and Salmon"
Barley,Grain,1,0,0,0,1,"Simmer,Boil","Butter,Garlic,Lemon Thyme,Olive Oil,Onions,Oregano,Parsley,White Pepper,Sage,Salt,Scallions,Thyme,Tomatoes,Sherry Vinegar","Beef,Mushrooms","Barley w/ Beef and Mushrooms,Barley w/ Onions and Sage,Barley w/ Parsley and Lemon Thyme"
Bass,Protein,3,0,1,0,5,"Bake,Broil,Deep Fry,Poach,Roast,Saute,Steam","Artichoke,Bay Leaf,Carrots,Cayenne,Celery,Chervil,Garlic,Lemon,Olive Oil,Onions,Saffron,Salmon,Salt,Shallots,Star Anise,Tomatoes,Vanilla,White Wine","Fennel,Orange Juice,Orange Zest,Parsley,White Pepper,Black Pepper,Sole,Tarragon","Bass w/ Artichokes and Saffron,Bass w/ Carrots and Vanilla,Bass w/ Fennel and Star Anise,Bass w/ Lemon and Chervil,Bass w/ Onions and Garlic,Bass w/ Tomatoes and White Wine"
Black Bass,Protein,3,0,1,0,5,"Bake,Broil,Deep Fry,Poach,Roast,Saute,Steam","Asparagus,Basil,Beets,Butter,Savoy Cabbage,Carrots,Celery,Chestnuts,Jalapenos,Chives,Chutney,Cilantro,Coriander,Peking Duck,Endive,Fennel,Ginger,Ham,Honey,Leeks,Lime,Marjoram,Mint,Mushrooms,Mustard,Onions,Orange Juice,Oregano,Papaya,Parsnips,Peas,White Pepper,Raisins,Saffron,Salt,Scallops,Shallots,Shrimp,Tarragon,Thyme,Tomatoes,Turnips,Zucchini","Garlic,Lemon,Olive Oil,Parsley,Scallions,Hubbard Squash,Yellow Squash,Tuna,Champagne Vinegar,Red Wine Vinegar,Red Wine,White Wine","Black Bass w/ Chutney and Papaya,Black Bass w/ Potatoes and Shrimp"
Sea Bass,Protein,3,0,1,0,5,"Bake,Broil,Ceviche,Deep Fry,Grill,Pan Roast,Poach,Roast,Saute,Steam","Almonds,Anchovies,Artichokes,Basil,Green Beans,Beets,Bread Crumbs,Capers,Cardamom,Cayenne,Celery,Chives,Citrus,Corn,Cream,Creme Fraiche,Ginger,Hazelnuts,Honey,Lentils,Lemons,Mayonnaise,Mirin,Dijon Mustard,Potatoes,Olive Oil,Black Olives,Oregano,Radishes,Rhubarb,Saffron,Sake,Salmon Roe,Scallops,Shiso,Spearmint,Star Anise,Sugar,Tamarind,Tarragon,Vanilla,Yuzu Juice,Zucchini","Bacon,Bay Leaf,Red Bell Peppers,Green Bell Peppers,Butter,Carrots,Chervil,Cilantro,Coriander,Fennel,Garlic,Leeks,Lemon Juice,Lemon Zest,Lime Juice,Marjoram,Mint,Mushrooms,Peanut Oil,Sesame Oil,Pearl Onions,Yellow Onions,Parsley,Black Pepper,White Pepper,Potatoes,Salt,Sesame Seeds,Shallots,Shrimp,Soy Sauce,Spinach,Thyme,Tomatoes,Vermouth,Sherry Vinegar,Dry White Wine","Sea Bass w/ Artichokes and Lemon,Sea Bass w/ Carrots and Fennel,Sea Bass w/ Garlic and Mushrooms,Sea Bass w/ Leeks and Shallots,Sea Bass w/ Potatoes and Vermouth"
Striped Bass,Protein,3,0,1,0,5,"Bake,Braise,Broil,Deep Fry,Grill,Pan Roast,Poach,Raw,Roast,Sauty,Sear,Steam","Artichokes,Bacon,Bay Leaf,Beets,Bell Peppers,Bok Choy,Buttermilk,Calamari,Carrots,Cauliflower,Cayenne,Celery,Chanterelles,Chervil,Chile Peppers,Chives,Cilantro,Clams,Corn,Cream,Cucumber,Dill,Fava Beans,Fennel,Fish Sauce,Ginger,Hollandaise Sauce,Horseradish,Leeks,Lemon,Lime Juice,Mint,Monkfish,Mushrooms,Dijon Mustard,Olive Oil,Olives,Orange,Sweet Paprika,Prosciutto,Rosemary,Sage,Sauerkraut,Sesame Seeds,Sour Cream,Soy Sauce,Squid,Squid Ink,Tabasco Sauce,Black Truffles,Champagne Vinegar,Red Wine Vinegar,Sherry Vinegar,White Wine Vinegar,Walnuts","Butter,Garlic,Lemon Juice,Lemon Zest,Pearl Onions,Red Onions,Parsley,Green Pepper,Black Pepper,White Pepper,Potatoes,Salt,Shallots,Thyme,Tomatoes,Port Wine,Dry White Wine,Riesling Wine","Striped Bass w/ Bacon and Sauerkraut,Striped Bass w/Bok Choy and Fish Sauce,Striped Bass w/ Curry and Sour Cream,Striped Bass w/ Lemon Juice and Dijon Mustard,Striped Bass w/ Leeks and Mushrooms"
Blackberries,Fruit,0,5,1,0,0,"Bake,Raw","Almonds,Apples,Apricots,Bananas,Blueberries,Brandy,Butter,Buttermilk,Caramel,Goat Cheese,Dark Chocolate,White Chocolate,Cloves,Cointreau,Cornmeal,Cream Cheese,Creme de Cassis,Creme Fraiche,Custard,Grand Marnier,Hazelnuts,Kirsch,Lime Juice,Lime Zest,Mango,Mascarpone,Melons,Nectarines,Oats,Oranges,Pork,Salt,Sour Cream,Strawberries,Watermelon,Wine","Cinnamon,Cream,Ice Cream,Honey,Lemon Juice,Mint,Peaches,Raspberries,Brown Sugar,White Sugar,Vanilla,Yogurt","Blackberries w/ Creme de Cassis and Sugar,Blackberries w/ Lemon and Mint,Blackberries w/ Peaches and Vanilla,Blackberries w/ Raspberries and Cream,Blackberries w/ Yogurt and Honey"
Mozzarella, Cheese,3,1,0,0,5,"Tomato,Basil,Olive Oil","Citrus,Chocolate"
Sugar,Sweetener,0,5,0,0,0,"Lemon,Berries,Butter","Salt,Pepper"
Honey,Sweetener,0,5,1,0,1,"Lemon,Yogurt,Ginger","Garlic,Pepper"
Chocolate,Sweetener,0,4,0,1,1,"Sugar,Vanilla,Strawberries","Garlic,Soy Sauce"
Coffee,Beverage,0,1,1,5,0,"Milk,Sugar,Cinnamon","Lemon,Garlic"
Cinnamon,Spice,0,3,0,2,1,"Apples,Sugar,Milk","Tomatoes,Seafood"
Vanilla,Flavoring,0,4,0,0,0,"Sugar,Milk,Cinnamon","Garlic,Chili"
Ginger,Spice,0,2,3,1,2,"Honey,Soy Sauce,Lemon","Chocolate,Dairy"
Soy Sauce,Condiment,5,0,2,1,5,"Rice,Vinegar,Ginger","Sugar,Chocolate"
Butter,Fat,1,1,0,0,3,"Garlic,Tomatoes,Flour","Lemon,Olives"
Chicken,Protein,3,0,0,0,4,"Garlic,Rice,Herbs","Chocolate,Berries"
Beef,Protein,4,0,0,0,5,"Grill,Stew,Saute,Simmer","Allspice,Bacon,Basil,Bay Leaf,Green Beans,Beer,Bouquet Garni,Brandy,Butter,Capers,Carrots,Cayenne,Celery,Bleu Cheese,Pasilla Chiles,Chives,Chocolate,Cocoa Powder,Cilantro,Cinnamon,Coffe,Espresso,Cognac,Corn,Cornichons,Cream,Cumin,Curry,Foie Gras,Ginger,Horseradish,Hyssop,Leeks,Mint,Red Miso,Dijon Mustard,Olive Oil,Sesame Oil,Orange,Oregano,Parsley,Red Pepper Flakes,Rosemary,Saffron,Shallots,Soy Sauce,Spinach,Sugar,Tarragon,Thyme,Truffles,Apple Cider Vinegar,Red Wine Vinegar,Rice Wine Vinegar,Sherry Vinegar,Tarragon Vinegar,Madeira Wine,Zucchini","Cloves,Coriander,Garlic,Mushrooms,Canola Oil,Onions,Black Pepper,White Pepper,Salt,Potatoes,Tomatoes,Tomato Paste,Red Wine","Beef w/ Beer and Onions,Beef w/ Garlic and Ginger,Beef w/ Garlic and Tomatoes,Beef w/ Mushrooms and Potatoes,Beef w/ Mushrooms and Red Wine"
Beef Brisket,Protein,4,0,0,0,5,"Barbecue,Braise,Corn,Roast,Simmer,Smoke","Barbecue Rub,Bay Leaf,Beer,Chili Powder,Cinnamon,Cumin,Fennel,Horseradish,Maple Syrup,Mustard,Olive Oil,Pasilla Peppers,Black Pepper,Rosemary,Salt,Star Anise","Barbecue Sauce,Cabbage,Garlic,Onions,Potatoes,Brown Sugar,Thyme,Tomatoes,Tomato Paste,Red Wine",""
Beef Cheeks,Protein,4,0,0,0,5,"Braise","Apples,Bay Leaf,Butter,Carrots,Chives,Cinnamon,Cloves,Leeks,Mustard,Peanut Oil,Onions,Black Pepper,Potatoes,Risotto,Rosemary,Salt,Tarragon,Tomatoes,Balsamic Vinegar","Celery,Garlic,Horseradish,Thyme,Red Wine",""
Kobe Beef,Protein,4,0,0,0,5,"Grill,Saute","Arugula,Parmesan,Chives,Garlic,Ginger,Horseradish,Madeira,Mushrooms,Sesame Oil,Olive Oil,Onions,Black Pepper,Salt,Sesame Seeds,Soy Sauce,Black Truffles,Yuzu Juice","","Kobe Beef w/ Mushrooms and Black Truffles"
Beef Loin,Protein,4,0,0,0,5,"Pan Roast,Roast","Butter,Five Spice Powder,Ginger,Peanut Oil,Paprika,Rosemary,Salt,Soy Sauce,Thyme,Wasabi","Black Pepper,White Pepper",""
Oxtail,Protein,4,0,0,0,5,"Braise,Stew","Allspice,Anise,Basil,Bay Leaf,White Beans,Beer,Bell Peppers,Asiago,Pecorino,Garlic,Ginger,Gnocchi,Leeks,Madeira,Mustard,Olive Oil,Orange,Parsley,Parsnips,Black Pepper,Potatoes,Salt,Scallops,Shallots","Mushrooms,Onions,Thyme,Tomatoes,Tomato Sauce,Red Wine,White Wine","Oxtails w/ Parsnips and Red Wine,Oxtails w/ Red Wine Thyme and Tomatoes"
Beef Ribs,Protein,4,0,0,0,5,"Barbecue,Braise,Dry Roast","Barbecue Sauce,Spice Rub","",""
Beef Roast,Protein,4,0,0,0,5,"Roast","Brandy,Chocolate,Coffee,Garlic,Horseradish,Mushrooms,Rosemary,Soy Sauce,Thyme,Red Wine","",""
Beef Round,Protein,4,0,0,0,5,"Grill,Saute,Stir Fry","Bell Peppers,Chili Powder,Cilantro,Cumin,Garlic,Lime Juice,Olive Oil,Red Onions,Parsley,Radishes,Tabasco Sauce","",""
Beef Shank,Protein,4,0,0,0,5,"Braise","Garlic,Ginger,Lemon,Green Onions,Paprika,Black Pepper,Sesame Oil,Soy Sauce,Sugar","",""
Beef Short Ribs,Protein,4,0,0,0,5,"Barbecue,Braise,Stew","Bacon,Basil,Beer,Chervil,Chile Peppers,Chives,Cilantro,Cinnamon,Coriander,Garam Masala,Ginger,Gremolata,Grits,Horseradish,Leeks,Lemon Juice,Lemon Zest,Lime,Dijon Mustard,Molasses,Orange Juice,Orange Zest,Oregano,Parsnips,Peas,Rosemary,Sage,Shallots,Dry Sherry,Soy Sauce,Star Anise,Brown Sugar,Tamarind,Tarragon,Tomatoes,Tomato Paste,Tomato Sauce,Turnips,Worcestershire Sauce","Bay Leaf,Carrots,Celery,Garlic,Onions,Parsley,Pepper,Potatoes,Prosciutto,Salt,Thyme,Balsamic Vinegar,Sherry Vinegar,Dry Red Wine,White Wine","Short Ribs w/ Celery and Horseradish,Short Ribs w/ Garlic and Thyme,Short Ribs w/ Onions and Balsamic Vinegar"
Beef Chuck,Protein,4,0,0,0,5,"Braise,Stew","Allspice,Anise,Bay Leaf,Beer,Bell Peppers,Bouquet Garni,Brandy,Butter,Capers,Carrots,Cayenne,Celery,Chile Peppers,Chives,Chocolate,Cocoa Powder,Cilantro,Cinnamon,Coffee,Espresso,Cognac,Corn,Cornichons,Cream,Cumin,Curry,Foie Gras,Ginger,Horseradish,Hyssop,Leeks,Mint,Red Miso,Dijon Mustard,Olive Oil,Sesame Oil,Orange,Oregano,Parsley,Red Pepper Flakes,Rosemary,Saffron,Shallots,Soy Sauce,Spinach,Sugar,Tarragon,Thyme,Truffles,Apple Cider Vinegar,Red Wine Vinegar,Rice Wine Vinegar,Sherry Vinegar,Tarragon Vinegar,Madeira Wine,Zucchini","Cloves,Coriander,Garlic,Mushrooms,Canola Oil,Onions,Black Pepper,White Pepper,Salt,Potatoes,Tomatoes,Tomato Paste,Red Wine","Beef w/ Beer and Onions,Beef w/ Garlic and Ginger,Beef w/ Garlic and Tomatoes,Beef w/ Mushrooms and Potatoes,Beef w/ Mushrooms and Red Wine"
Beef Filet Mignon,Protein,4,0,0,0,2,"Broil,Grill,Stew","Bacon,Cognac,Cream,Foie Gras,Garlic,Leeks,Peanut Oil,Olive Oil,Onions,Port,Potatoes,Rosemary,Salt,Sherry,Thyme,Balsamic Vinegar,Dry Red Wine,Madeira Wine","Butter,Mushrooms,Black Pepper,Shallots",""
Beef Flank Steak,Protein,4,0,0,0,5,"Broil,Grill,Saute,Stir Fry","Cilantro,Hoisin Sauce,Honey,Lime Juice,Molasses,Brown Mustard,Peanut Oil,Sesame Oil,Olive Oil,Salt,Sugar,Thyme,Balsamic Vinegar","Chipotle Peppers,Jalapeno Peppers,Cumin,Garlic,Oregano,Salsa,Soy Sauce",""
Beef Hanger Steak,Protein,4,0,0,0,5,"Broil,Grill,Saute","Bell Peppers,Brandy,Celery,Ginger,Mushrooms,Mustard,Onions,Parsnips,Black Pepper,Scallions,Soy Sauce,Thyme,Red Wine","",""
Beef Ribeye Steak,Protein,4,0,0,0,5,"Broil,Grill,Saute,Stir Fry","Garlic,Mushrooms,Olive Oil,Oregano,Black Pepper,Red Pepper Flakes,Rosemary,Balsamic Vinegar,Red Wine Vinegar","",""
Beef Skirt Steak,Protein,4,0,0,0,5,"Broil,Grill,Saute","Allspice,Anchovies,Butter,Capers,Ancho Chile Peppers,Cinnamon,Cumin,Endive,Lime Juice,Lime Zest,Mustard,Canola Oil,Olive Oil,Red Onions,Oregano,Paprika,Parsley,Red Pepper Flakes,Rosemary,Salt,Scallions,Soy Sauce,Thyme,Balsamic Vinegar","Garlic",""
Beer,Alcohol,1,1,1,0,0,"Simmer,Raw","Beef,Cheddar Cheese,Ham,Onions,Pork,Sauerkraut,Sausages,Shellfish","","Beer w/ Cheese and Broccoli Soup"
Beets,Vegetable,1,5,1,0,1,"Bake,Broil,Carpaccio,Chips,Roast,Soup,Steam","Arugula,Avocado,Green Beans,Beef,Cabbage,Capers,Carrots,Caviar,Celery,Bleu Cheese,Cambozola,Cheddar,Chicory,Chiles,Cilantro,Citrus,Coriander,Cream,Creme Fraiche,Cumin,Curry,Eggs,Endive,Escarole,Fennel,Fish,Frisee,Ginger,Herring,Leeks,Lemon Thyme,Lime,Maple Syrup,Milk,Mushrooms,Nutmeg,Olives,Pears,Potatoes,Radishes,Rosemary,Scallions,Sherry,Spinach,Thyme,Mustard Vinaigrette,Champagne Vinegar,Raspberry Vinegar,Red Wine Vinegar,Sherry Vinegar,Tarragon Vinegar,White Wine Vinegar,Vodka,White Wine","Apples,Basil,Butter,Caraway Seeds,Goat Cheese,Parmesan,Roquefort,Chervil,Chives,Dill,Honey,Horseradish,Lemon,Mint,Dijon Mustard,Olive Oil,Onions,Orange,Parsley,Pepper,Pistachios,Salt,Shallots,Sour Cream,Sugar,Tarragon,Balsamic Vinegar,Apple Cider Vinegar,Walnuts,Yogurt","Beets w/ Dill and Sour Cream,Beets w/ Potatoes and Balsamic Vinegar,Beets w/ Mint and Yogurt,Beets w/ Goat Cheese and Walnuts"
Bell Peppers,Vegetable,1,1,1,0,1,"Bake,Broil,Grill,Roast,Saute,Steam,Stew,Stir Fry,Stuff","Anchovies,Anise,Arugula,Bacon,Bay Leaf,Beef,Butter,Capers,Cardamom,Carrots,Cayenne,Chives,Cilantro,Coriander,Cream,Cumin,Curry,Fennel,Ginger,Goulash,Hazelnuts,Honey,Lamb,Lemongrass,Lime Juice,Lovage,MarjoramMint,Mushrooms,Mustard,Olives,Peas,Piquillo Peppers,Pine Nuts,Polenta,Pork,Quail,Red Pepper Flakes,Rosemary,Saffron,Sausages,Scallions,Sea Bass,Sesame Oil,Shallots,Squash,Swordfish,Tabasco Sauce,Tuna,Balsamic Vinegar,Champagne Vinegar,Apple Cider Vinegar,Red Wine Vinegar,Sherry Vinegar,White Wine Vinegar,Watercress,Dry White Wine,Sherry Wine","Basil,Goat Cheese,Mozzarella,Parmesan,Chile Peppers,Eggplant,Garlic,Lemon Juice,Canola Oil,Olive Oil,Onions,Oregano,Parsley,Black Pepper,Potatoes,Rice,Salt,Thyme,Tomatoes,Zucchini",""
Fish,Protein,3,0,1,0,5,"Lemon,Capers,Herbs","Cinnamon,Chocolate"
Strawberries,Fruit,0,5,2,0,0,"Sugar,Vanilla,Chocolate","Garlic,Pepper"
Apples,Fruit,0,4,3,0,0,"Bake,Caramelize,Deep Fry,Grill,Poach,Raw,Saute,Stew","Allspice,Almonds,Armagnac,Bacon,Bay Leaf,Beef,Blackberries,Bourbon,Brioche,Butterscotch,Red Cabbage,Cardamom,Celery,Cherries,Chestnuts,Chicken,Chives,Cointreau,Coriander,Cranberries,Cumin,Dates,Duck,Eggplant,Fennel,Frisee,Goose,Hazelnuts,Horseradish,Ice Cream,Lavender,Lemon Thyme,Lychees,Maple Syrup,Mayonnaise,Meringue,Molasses,Mustard,Nuts,Oatmeal,Olive Oil,Green Onions,Red Onions,Orange Juice,Orange Zest,Pears,Pepper,Pineapple,Pistachios,Plums,Pomegranates,Poultry,Prunes,Quince,Rhubarb,Rice,Rosemary,Salt,Sauerkraut,Sour Cream,Star Anise,Tarragon,Thyme,Verjus,Apple Cider Vinegar,Raspberry Vinegar,Red Wine,Dry White Wine,Yogurt","Apple Cider,Apple Juice,Applejack,Apricots,Butter,Calvados,Caramel,Cheese,Cinnamon,Cloves,Cognac,Cream,Ice Cream,Custards,Ginger,Honey,Kirsch,Lemon Juice,Lemon Zest,Madeira,Nutmeg,Pecans,Pine Nuts,Pork,Pumpkin,Raisins,Rum,Sherry,Sugar,Sweet Potatoes,Vanilla,Vermouth,Walnuts","Apples w/ Almonds and Caramel,Apples w/ Caramel and Cinnamon,Apples w/ Caramel and Peanuts,Apples w/ Caramel and Pecans,Apples w/ Cinnamon and Cranberries,Apples w/ Cream and Ginger,Apples w/ Ginger and Hazelnuts,Apples w/ Raisins and Rum,Apples w/ Red Cabbage and Cinnamon"
Capers,Vegetable,3,0,4,1,3,"Fish,Lemon,Olive Oil","Cinnamon,Vanilla"
Carrot,Vegetable,1,3,1,0,1,"Butter,Thyme,Honey","Garlic,Lemon"
Potato,Vegetable,2,1,0,0,3,"Butter,Salt,Cream","Vanilla,Strawberries"
Milk,Dairy,2,3,0,0,3,"Sugar,Coffee,Vanilla","Lemon,Capers"
Eggs,Protein,3,1,0,0,4,"Salt,Pepper,Cheese","Fruit Juices,Chocolate"
Parmesan,Cheese,5,0,0,1,5,"Pasta,Basil,Olive Oil","Berries,Citrus"
Rosemary,Herb,0,0,1,4,1,"Lamb,Potatoes,Garlic","Chocolate,Vanilla"
Thyme,Herb,0,0,1,3,1,"Chicken,Butter,Lemon","Sugar,Strawberries"
